地浸砂岩型钻孔分层地质特征表,,,,,,,,,,,,,,,,,,,
工作区编号(必填),钻孔编号(必填),分层号(必填),换层深度(m),岩石分层厚度(m),地层代号,年代地层单位名称(有提示信息DSA),岩石地层单位名称(有提示信息DSB),花纹代号,粒度(有提示信息YAN),岩石名称(有提示信息YSEB),岩性描述,地质描述,碳酸岩含量,岩石固结程度,其他（岩石成分）,轴心夹角度(岩层倾角),备注,数据入库日期(年.月.日),,
1,2,3,4,,
MDBTAD,GCJCBN,MDLOA,HCSD,TKACCM,DCDH,DSF,DSBF,YSHFA,YXLD,YSEB,PKICGA,DZMS,FCTSY,FCGJCD,YSQT,GCJLIJ,MDLZZ,GGDDIW,,
220620,P2800,68,233.6,0.5,J2x1,,中侏罗统西山窑组下段,,细砂,细砂岩,灰色细砂岩，成分石英为主，次为岩屑，少量长石，分选中等，次棱角-次圆状，颗粒支撑，泥质胶结，固结疏松。发育粘土化蚀变,灰色细砂岩，成分石英为主，次为岩屑，少量长石，分选中等，次棱角-次圆状，颗粒支撑，泥质胶结，固结疏松。发育粘土化蚀变,I,,,,,,
220620,P2800,69,234.3,0.5,J2x1,,中侏罗统西山窑组下段,,泥,泥岩,灰色泥岩,灰色泥岩,I,,,,,,
220620,P2800,70,234.7,0.4,J2x1,,中侏罗统西山窑组下段,,粉砂,粉砂岩,灰色粉砂岩,灰色粉砂岩,I,,,,,,
220620,P2800,71,235.5,0.8,J2x1,,中侏罗统西山窑组下段,,细砂,细砂岩,灰色细砂岩，成分石英为主，次为岩屑，少量长石，分选中等，次棱角-次圆状，颗粒支撑，泥质胶结，固结疏松。发育粘土化蚀变,灰色细砂岩，成分石英为主，次为岩屑，少量长石，分选中等，次棱角-次圆状，颗粒支撑，泥质胶结，固结疏松。发育粘土化蚀变,I,,,,,,
220620,P2800,72,242,6.5,J2x1,,中侏罗统西山窑组下段,,粗砂,粗砂岩,灰色粗砂岩，成分石英为主，次为岩屑，少量长石，分选中等，次棱角-次圆状，颗粒支撑，泥质胶结，固结疏松。发育粘土化蚀变,灰色粗砂岩，成分石英为主，次为岩屑，少量长石，分选中等，次棱角-次圆状，颗粒支撑，泥质胶结，固结疏松。发育粘土化蚀变,I,,,,,,
220620,P2800,73,242.6,0.6,J2x1,,中侏罗统西山窑组下段,,粗砂,含砾粗砂岩,灰色含砾粗砂岩，成分石英为主，次为岩屑，少量长石，砾石石英为主，少量岩屑，砾径2-6mm，分选中等，次棱角-次圆状，颗粒支撑，泥质胶结，固结疏松。发育粘土化蚀变,灰色含砾粗砂岩，成分石英为主，次为岩屑，少量长石，砾石石英为主，少量岩屑，砾径2-6mm，分选中等，次棱角-次圆状，颗粒支撑，泥质胶结，固结疏松。发育粘土化蚀变,I,,,,,,
220620,P2800,74,242.9,0.3,J2x1,,中侏罗统西山窑组下段,,泥,含炭泥岩,黑色炭质泥岩,黑色炭质泥岩,I,,,,,,
220620,P2800,75,243.5,0.6,J2x1,,中侏罗统西山窑组下段,,粉砂,粉砂岩,灰色粉砂岩,灰色粉砂岩,I,,,,,,
220620,P2800,76,244.9,1.4,J2x1,,中侏罗统西山窑组下段,,细砂,细砂岩,灰色细砂岩，成分石英为主，次为岩屑，少量长石，分选中等，次棱角-次圆状，颗粒支撑，泥质胶结，固结疏松。发育粘土化蚀变,灰色细砂岩，成分石英为主，次为岩屑，少量长石，分选中等，次棱角-次圆状，颗粒支撑，泥质胶结，固结疏松。发育粘土化蚀变,I,,,,,,
220620,P2800,77,247.4,2.5,J2x1,,中侏罗统西山窑组下段,,中砂,中砂岩,灰色中砂岩，成分石英为主，次为岩屑，少量长石，分选中等，次棱角-次圆状，颗粒支撑，泥质胶结，固结疏松。发育粘土化蚀变,灰色中砂岩，成分石英为主，次为岩屑，少量长石，分选中等，次棱角-次圆状，颗粒支撑，泥质胶结，固结疏松。发育粘土化蚀变,I,,,,,,
220620,P2800,78,247.8,0.4,J2x1,,中侏罗统西山窑组下段,,粗砂,钙质粗砂岩,灰色钙质粗砂岩，成分石英为主，次为岩屑，少量长石，分选中等，次棱角-次圆状，颗粒支撑，钙质胶结，固结致密。,灰色钙质粗砂岩，成分石英为主，次为岩屑，少量长石，分选中等，次棱角-次圆状，颗粒支撑，钙质胶结，固结致密。,I,,,,,,
220620,P2800,79,249.2,1.4,J2x1,,中侏罗统西山窑组下段,,粗砂,含砾粗砂岩,灰色含砾粗砂岩，成分石英为主，次为岩屑，少量长石，砾石石英为主，少量岩屑，砾径2-6mm，分选中等，次棱角-次圆状，颗粒支撑，泥质胶结，固结疏松。发育粘土化蚀变,灰色含砾粗砂岩，成分石英为主，次为岩屑，少量长石，砾石石英为主，少量岩屑，砾径2-6mm，分选中等，次棱角-次圆状，颗粒支撑，泥质胶结，固结疏松。发育粘土化蚀变,I,,,,,,
220620,P2800,80,249.65,0.45,J2x1,,中侏罗统西山窑组下段,,泥,含炭泥岩,黑色炭质泥岩,黑色炭质泥岩,I,,,,,,
220620,P2800,81,254.6,4.95,J2x1,,中侏罗统西山窑组下段,,泥,泥岩,灰色泥岩,灰色泥岩,I,,,,,,
220620,P2800,82,256.1,1.5,J2x1,,中侏罗统西山窑组下段,,细砂,细砂岩,灰色细砂岩，成分石英为主，次为岩屑，少量长石，分选中等，次棱角-次圆状，颗粒支撑，泥质胶结，固结疏松。发育粘土化蚀变,灰色细砂岩，成分石英为主，次为岩屑，少量长石，分选中等，次棱角-次圆状，颗粒支撑，泥质胶结，固结疏松。发育粘土化蚀变,I,,,,,,
220620,P2800,83,256.5,0.4,J2x1,,中侏罗统西山窑组下段,,粉砂,粉砂岩,灰色粉砂岩,灰色粉砂岩,I,,,,,,
